Time,Voltage
0.064,0.128049
0.128,0.128046
0.192,0.128046
0.256,0.128047
0.32,0.128048
0.384,0.128056
0.448,0.128058
0.512,0.128055
0.576,0.128051
0.64,0.128048
0.704,0.128052
0.768,0.128062
0.832,0.128052
0.896,0.128046
0.96,0.12805
1.024,0.128052
1.088,0.128057
1.152,0.128062
1.216,0.128069
1.28,0.128069
1.344,0.128069
1.408,0.128072
1.472,0.128068
1.536,0.128068
1.6,0.128075
1.664,0.128074
1.728,0.128074
1.792,0.128079
1.856,0.128063
1.92,0.128066
1.984,0.128066
2.048,0.128073
2.112,0.128071
2.176,0.12807
2.24,0.128072
2.304,0.12808
2.368,0.128075
2.432,0.128073
2.496,0.128069
2.56,0.12808
2.624,0.12808
2.688,0.128077
2.752,0.128077
2.816,0.128072
2.88,0.128074
2.944,0.128076
3.008,0.128075
3.072,0.12808
3.136,0.128081
3.2,0.128076
3.264,0.128082
3.328,0.128083
3.392,0.128083
3.456,0.128079
3.52,0.128075
3.584,0.128072
3.648,0.128067
3.712,0.128073
3.776,0.12807
3.84,0.128073
3.904,0.128075
3.968,0.128074
4.032,0.128078
4.096,0.128072
4.16,0.128068
4.224,0.128069
4.288,0.128077
4.352,0.128084
4.416,0.12808
4.48,0.128071
4.544,0.128081
4.608,0.128087
4.672,0.12808
4.736,0.128083
4.8,0.128079
4.864,0.128086
4.928,0.128088
4.992,0.128082
5.056,0.12808
5.12,0.128073
5.184,0.12808
5.248,0.128083
5.312,0.128084
5.376,0.128083
5.44,0.128092
5.504,0.128101
5.568,0.128105
5.632,0.128108
5.696,0.128113
5.76,0.128117
5.824,0.12812
5.888,0.128121
5.952,0.128133
6.016,0.128141
6.08,0.128141
6.144,0.128143
6.208,0.128143
6.272,0.128154
6.336,0.128162
6.4,0.12816
6.464,0.128165
6.528,0.128172
6.592,0.128178
6.656,0.128176
6.72,0.128173
6.784,0.128176
6.848,0.128178
6.912,0.128176
6.976,0.12819
7.04,0.12819
7.104,0.128191
7.168,0.128186
7.232,0.128188
7.296,0.128189
7.36,0.128193
7.424,0.128189
7.488,0.128185
7.552,0.128184
7.616,0.128186
7.68,0.128183
7.744,0.128183
7.808,0.12818
7.872,0.128185
7.936,0.128187
8,0.128187
8.064,0.128192
8.128,0.128187
8.192,0.12818
8.256,0.128179
8.32,0.128178
8.384,0.128175
8.448,0.128174
8.512,0.128171
8.576,0.128164
8.64,0.12816
8.704,0.128165
8.768,0.128165
8.832,0.128158
8.896,0.128161
8.96,0.128162
9.024,0.12816
9.088,0.128155
9.152,0.128152
9.216,0.128157
9.28,0.128158
9.344,0.128159
9.408,0.12816
9.472,0.128157
9.536,0.128163
9.6,0.128159
9.664,0.128158
9.728,0.128153
9.792,0.128153
9.856,0.128154
9.92,0.128158
9.984,0.12816
10.048,0.128162
10.112,0.128158
10.176,0.128159
10.24,0.128169
10.304,0.128171
10.368,0.128166
10.432,0.128165
10.496,0.128172
10.56,0.128177
10.624,0.128168
10.688,0.128169
10.752,0.12817
10.816,0.12817
10.88,0.128172
10.944,0.128174
11.008,0.128171
11.072,0.12817
11.136,0.128174
11.2,0.128171
11.264,0.128164
11.328,0.128168
11.392,0.128168
11.456,0.128165
11.52,0.128166
11.584,0.128162
11.648,0.128161
11.712,0.128165
11.776,0.128163
11.84,0.128157
11.904,0.128158
11.968,0.128162
12.032,0.128146
12.096,0.128134
12.16,0.128136
12.224,0.128138
12.288,0.128135
12.352,0.128134
12.416,0.128134
12.48,0.128133
12.544,0.128133
12.608,0.128131
12.672,0.128123
12.736,0.128124
12.8,0.128129
12.864,0.12812
12.928,0.128126
12.992,0.128129
13.056,0.128121
13.12,0.128119
13.184,0.128119
13.248,0.128119
13.312,0.128123
13.376,0.128118
13.44,0.128117
13.504,0.128121
13.568,0.128106
13.632,0.128109
13.696,0.128117
13.76,0.128111
13.824,0.128108
13.888,0.128108
13.952,0.12811
14.016,0.128111
14.08,0.128114
14.144,0.12812
14.208,0.128116
14.272,0.12812
14.336,0.128116
14.4,0.12812
14.464,0.128124
14.528,0.128116
14.592,0.128122
14.656,0.128133
14.72,0.128138
14.784,0.128134
14.848,0.12815
14.912,0.12815
14.976,0.128141
15.04,0.128139
15.104,0.128139
15.168,0.128136
15.232,0.128135
15.296,0.128133
15.36,0.128134
15.424,0.128134
15.488,0.128129
15.552,0.128119
15.616,0.128113
15.68,0.128111
15.744,0.128113
15.808,0.128111
15.872,0.128113
15.936,0.128104
16,0.128108
16.064,0.128103
16.128,0.1281
16.192,0.128105
16.256,0.128106
16.32,0.128108
16.384,0.128106
16.448,0.128107
16.512,0.128114
16.576,0.128113
16.64,0.12811
16.704,0.128113
16.768,0.128114
16.832,0.128108
16.896,0.128105
16.96,0.12811
17.024,0.128111
17.088,0.128111
17.152,0.128117
17.216,0.128127
17.28,0.128125
17.344,0.128129
17.408,0.128129
17.472,0.128131
17.536,0.128141
17.6,0.128146
17.664,0.128141
17.728,0.128149
17.792,0.128154
17.856,0.128152
17.92,0.128149
17.984,0.128154
18.048,0.128161
18.112,0.12816
18.176,0.128161
18.24,0.128163
18.304,0.128168
18.368,0.128167
18.432,0.128164
18.496,0.128173
18.56,0.128172
18.624,0.128171
18.688,0.128169
18.752,0.128168
18.816,0.128175
18.88,0.12818
18.944,0.12818
19.008,0.128183
19.072,0.128194
19.136,0.128197
19.2,0.128199
